group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pow_alt_inline,2,59,,,114199.0,events,1768
pow_alt_inline,2,59,,,227351.0,events,3536
pow_alt_inline,2,59,,,340503.0,events,5304
pow_alt_inline,2,59,,,453655.0,events,7072
pow_alt_inline,2,59,,,566807.0,events,8840
pow_alt_inline,2,59,,,679959.0,events,10608
pow_alt_inline,2,59,,,793111.0,events,12376
pow_alt_inline,2,59,,,906263.0,events,14144
pow_alt_inline,2,59,,,1019415.0,events,15912
pow_alt_inline,2,59,,,1132567.0,events,17680
pow_alt_inline,2,59,,,1245719.0,events,19448
pow_alt_inline,2,59,,,1358871.0,events,21216
pow_alt_inline,2,59,,,1476200.0,events,22984
pow_alt_inline,2,59,,,1585175.0,events,24752
pow_alt_inline,2,59,,,1698327.0,events,26520
pow_alt_inline,2,59,,,1811479.0,events,28288
pow_alt_inline,2,59,,,1924631.0,events,30056
pow_alt_inline,2,59,,,2037783.0,events,31824
pow_alt_inline,2,59,,,2150935.0,events,33592
pow_alt_inline,2,59,,,2264087.0,events,35360
pow_alt_inline,2,59,,,2377239.0,events,37128
pow_alt_inline,2,59,,,2490391.0,events,38896
pow_alt_inline,2,59,,,2603543.0,events,40664
pow_alt_inline,2,59,,,2716695.0,events,42432
pow_alt_inline,2,59,,,2834026.0,events,44200
pow_alt_inline,2,59,,,2942999.0,events,45968
pow_alt_inline,2,59,,,3056151.0,events,47736
pow_alt_inline,2,59,,,3169303.0,events,49504
pow_alt_inline,2,59,,,3282455.0,events,51272
pow_alt_inline,2,59,,,3395607.0,events,53040
pow_alt_inline,2,59,,,3508759.0,events,54808
pow_alt_inline,2,59,,,3626280.0,events,56576
pow_alt_inline,2,59,,,3735063.0,events,58344
pow_alt_inline,2,59,,,3848215.0,events,60112
pow_alt_inline,2,59,,,3961367.0,events,61880
pow_alt_inline,2,59,,,4074519.0,events,63648
pow_alt_inline,2,59,,,4187671.0,events,65416
pow_alt_inline,2,59,,,4304999.0,events,67184
pow_alt_inline,2,59,,,4413975.0,events,68952
pow_alt_inline,2,59,,,4527127.0,events,70720
pow_alt_inline,2,59,,,4640279.0,events,72488
pow_alt_inline,2,59,,,4753431.0,events,74256
pow_alt_inline,2,59,,,4866583.0,events,76024
pow_alt_inline,2,59,,,4983901.0,events,77792
pow_alt_inline,2,59,,,5092887.0,events,79560
pow_alt_inline,2,59,,,5206039.0,events,81328
pow_alt_inline,2,59,,,5319191.0,events,83096
pow_alt_inline,2,59,,,5436668.0,events,84864
pow_alt_inline,2,59,,,5545495.0,events,86632
pow_alt_inline,2,59,,,5658647.0,events,88400
pow_alt_inline,2,59,,,5771799.0,events,90168
pow_alt_inline,2,59,,,5884951.0,events,91936
pow_alt_inline,2,59,,,6002279.0,events,93704
pow_alt_inline,2,59,,,6111255.0,events,95472
pow_alt_inline,2,59,,,6224407.0,events,97240
pow_alt_inline,2,59,,,6337559.0,events,99008
pow_alt_inline,2,59,,,6454877.0,events,100776
pow_alt_inline,2,59,,,6563863.0,events,102544
pow_alt_inline,2,59,,,6677015.0,events,104312
pow_alt_inline,2,59,,,6794650.0,events,106080
pow_alt_inline,2,59,,,6903319.0,events,107848
pow_alt_inline,2,59,,,7016471.0,events,109616
pow_alt_inline,2,59,,,7129623.0,events,111384
pow_alt_inline,2,59,,,7246951.0,events,113152
pow_alt_inline,2,59,,,7355927.0,events,114920
pow_alt_inline,2,59,,,7469079.0,events,116688
pow_alt_inline,2,59,,,7586373.0,events,118456
pow_alt_inline,2,59,,,7695383.0,events,120224
pow_alt_inline,2,59,,,7808535.0,events,121992
pow_alt_inline,2,59,,,7925954.0,events,123760
pow_alt_inline,2,59,,,8034839.0,events,125528
pow_alt_inline,2,59,,,8147991.0,events,127296
pow_alt_inline,2,59,,,8265252.0,events,129064
pow_alt_inline,2,59,,,8374295.0,events,130832
pow_alt_inline,2,59,,,8487447.0,events,132600
pow_alt_inline,2,59,,,8604719.0,events,134368
pow_alt_inline,2,59,,,8713751.0,events,136136
pow_alt_inline,2,59,,,8826903.0,events,137904
pow_alt_inline,2,59,,,8944322.0,events,139672
pow_alt_inline,2,59,,,9053207.0,events,141440
pow_alt_inline,2,59,,,9166359.0,events,143208
pow_alt_inline,2,59,,,9283620.0,events,144976
pow_alt_inline,2,59,,,9392663.0,events,146744
pow_alt_inline,2,59,,,9511881.0,events,148512
pow_alt_inline,2,59,,,9618967.0,events,150280
pow_alt_inline,2,59,,,9732119.0,events,152048
pow_alt_inline,2,59,,,9849696.0,events,153816
pow_alt_inline,2,59,,,9958423.0,events,155584
pow_alt_inline,2,59,,,10075706.0,events,157352
pow_alt_inline,2,59,,,10184727.0,events,159120
pow_alt_inline,2,59,,,10297879.0,events,160888
pow_alt_inline,2,59,,,10415151.0,events,162656
pow_alt_inline,2,59,,,10524183.0,events,164424
pow_alt_inline,2,59,,,10641602.0,events,166192
pow_alt_inline,2,59,,,10750487.0,events,167960
pow_alt_inline,2,59,,,10867759.0,events,169728
pow_alt_inline,2,59,,,10976791.0,events,171496
pow_alt_inline,2,59,,,11094062.0,events,173264
pow_alt_inline,2,59,,,11203095.0,events,175032
pow_alt_inline,2,59,,,11316247.0,events,176800
