group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pow_alt_inline,1,34,,,114775.0,events,1777
pow_alt_inline,1,34,,,228503.0,events,3554
pow_alt_inline,1,34,,,342231.0,events,5331
pow_alt_inline,1,34,,,455959.0,events,7108
pow_alt_inline,1,34,,,569687.0,events,8885
pow_alt_inline,1,34,,,683415.0,events,10662
pow_alt_inline,1,34,,,797143.0,events,12439
pow_alt_inline,1,34,,,910871.0,events,14216
pow_alt_inline,1,34,,,1024599.0,events,15993
pow_alt_inline,1,34,,,1138327.0,events,17770
pow_alt_inline,1,34,,,1252055.0,events,19547
pow_alt_inline,1,34,,,1365783.0,events,21324
pow_alt_inline,1,34,,,1479511.0,events,23101
pow_alt_inline,1,34,,,1593239.0,events,24878
pow_alt_inline,1,34,,,1706967.0,events,26655
pow_alt_inline,1,34,,,1820695.0,events,28432
pow_alt_inline,1,34,,,1934423.0,events,30209
pow_alt_inline,1,34,,,2052472.0,events,31986
pow_alt_inline,1,34,,,2161879.0,events,33763
pow_alt_inline,1,34,,,2275607.0,events,35540
pow_alt_inline,1,34,,,2389335.0,events,37317
pow_alt_inline,1,34,,,2503063.0,events,39094
pow_alt_inline,1,34,,,2616791.0,events,40871
pow_alt_inline,1,34,,,2730519.0,events,42648
pow_alt_inline,1,34,,,2844247.0,events,44425
pow_alt_inline,1,34,,,2957975.0,events,46202
pow_alt_inline,1,34,,,3071703.0,events,47979
pow_alt_inline,1,34,,,3189607.0,events,49756
pow_alt_inline,1,34,,,3299159.0,events,51533
pow_alt_inline,1,34,,,3412887.0,events,53310
pow_alt_inline,1,34,,,3526615.0,events,55087
pow_alt_inline,1,34,,,3640343.0,events,56864
pow_alt_inline,1,34,,,3754071.0,events,58641
pow_alt_inline,1,34,,,3867799.0,events,60418
pow_alt_inline,1,34,,,3985722.0,events,62195
pow_alt_inline,1,34,,,4095255.0,events,63972
pow_alt_inline,1,34,,,4208983.0,events,65749
pow_alt_inline,1,34,,,4322711.0,events,67526
pow_alt_inline,1,34,,,4436439.0,events,69303
pow_alt_inline,1,34,,,4554488.0,events,71080
pow_alt_inline,1,34,,,4663895.0,events,72857
pow_alt_inline,1,34,,,4777623.0,events,74634
pow_alt_inline,1,34,,,4891351.0,events,76411
pow_alt_inline,1,34,,,5005079.0,events,78188
pow_alt_inline,1,34,,,5122990.0,events,79965
pow_alt_inline,1,34,,,5232535.0,events,81742
pow_alt_inline,1,34,,,5346263.0,events,83519
pow_alt_inline,1,34,,,5459991.0,events,85296
pow_alt_inline,1,34,,,5573719.0,events,87073
pow_alt_inline,1,34,,,5691631.0,events,88850
pow_alt_inline,1,34,,,5801175.0,events,90627
pow_alt_inline,1,34,,,5914903.0,events,92404
pow_alt_inline,1,34,,,6028631.0,events,94181
pow_alt_inline,1,34,,,6146838.0,events,95958
pow_alt_inline,1,34,,,6256087.0,events,97735
pow_alt_inline,1,34,,,6369815.0,events,99512
pow_alt_inline,1,34,,,6483543.0,events,101289
pow_alt_inline,1,34,,,6601444.0,events,103066
pow_alt_inline,1,34,,,6710999.0,events,104843
pow_alt_inline,1,34,,,6824727.0,events,106620
pow_alt_inline,1,34,,,6938455.0,events,108397
pow_alt_inline,1,34,,,7056356.0,events,110174
pow_alt_inline,1,34,,,7165911.0,events,111951
pow_alt_inline,1,34,,,7279639.0,events,113728
pow_alt_inline,1,34,,,7397688.0,events,115505
pow_alt_inline,1,34,,,7507095.0,events,117282
pow_alt_inline,1,34,,,7620823.0,events,119059
pow_alt_inline,1,34,,,7738746.0,events,120836
pow_alt_inline,1,34,,,7848279.0,events,122613
pow_alt_inline,1,34,,,7962007.0,events,124390
pow_alt_inline,1,34,,,8079908.0,events,126167
pow_alt_inline,1,34,,,8189463.0,events,127944
pow_alt_inline,1,34,,,8303191.0,events,129721
pow_alt_inline,1,34,,,8421240.0,events,131498
pow_alt_inline,1,34,,,8530647.0,events,133275
pow_alt_inline,1,34,,,8644375.0,events,135052
pow_alt_inline,1,34,,,8762286.0,events,136829
pow_alt_inline,1,34,,,8871831.0,events,138606
pow_alt_inline,1,34,,,8985559.0,events,140383
pow_alt_inline,1,34,,,9103471.0,events,142160
pow_alt_inline,1,34,,,9213015.0,events,143937
pow_alt_inline,1,34,,,9331222.0,events,145714
pow_alt_inline,1,34,,,9440471.0,events,147491
pow_alt_inline,1,34,,,9554199.0,events,149268
pow_alt_inline,1,34,,,9674046.0,events,151045
pow_alt_inline,1,34,,,9781655.0,events,152822
pow_alt_inline,1,34,,,9895383.0,events,154599
pow_alt_inline,1,34,,,10013227.0,events,156376
pow_alt_inline,1,34,,,10122839.0,events,158153
pow_alt_inline,1,34,,,10240853.0,events,159930
pow_alt_inline,1,34,,,10350295.0,events,161707
pow_alt_inline,1,34,,,10468139.0,events,163484
pow_alt_inline,1,34,,,10577751.0,events,165261
pow_alt_inline,1,34,,,10691479.0,events,167038
pow_alt_inline,1,34,,,10809323.0,events,168815
pow_alt_inline,1,34,,,10918935.0,events,170592
pow_alt_inline,1,34,,,11036927.0,events,172369
pow_alt_inline,1,34,,,11146391.0,events,174146
pow_alt_inline,1,34,,,11264235.0,events,175923
pow_alt_inline,1,34,,,11373847.0,events,177700
